Timestamp,Source IP,Destination IP,Protocol,Source Port,Destination Port,Packet Length,BATI Score,Status,Reasons
2026-09-03 14:54:17,10.30.166.85,20.42.73.30,TCP,41374,443,571,100,TRUSTED,
2026-09-03 14:54:17,20.42.73.30,10.30.166.85,TCP,443,41374,60,100,TRUSTED,
2026-09-03 14:54:17,10.30.165.113,10.30.167.255,UDP,42837,58581,168,100,TRUSTED,
2026-09-03 14:54:17,10.30.165.112,10.30.167.255,UDP,53646,15600,77,100,TRUSTED,
2026-09-03 14:54:17,10.30.165.0,10.30.167.255,UDP,137,137,92,100,TRUSTED,
2026-09-03 14:54:17,10.30.165.122,239.255.255.250,UDP,46313,1900,313,100,TRUSTED,
2026-09-03 14:54:17,10.30.165.122,239.255.255.250,UDP,46313,1900,322,100,TRUSTED,
2026-09-03 14:54:17,20.42.73.30,10.30.166.85,TCP,443,41374,153,100,TRUSTED,
2026-09-03 14:54:17,10.30.166.85,20.42.73.30,TCP,41374,443,491,100,TRUSTED,
2026-09-03 14:54:17,10.30.165.122,239.255.255.250,UDP,46313,1900,369,100,TRUSTED,
2026-09-03 14:54:17,10.30.165.122,239.255.255.250,UDP,46313,1900,367,100,TRUSTED,
2026-09-03 14:54:17,10.30.166.94,224.0.0.251,UDP,5353,5353,212,100,TRUSTED,
2026-09-03 14:54:17,10.30.167.156,224.0.0.251,UDP,5353,5353,488,100,TRUSTED,
2026-09-03 14:54:17,10.30.165.122,239.255.255.250,UDP,46313,1900,379,100,TRUSTED,
2026-09-03 14:54:17,10.30.165.0,10.30.167.255,UDP,137,137,92,100,TRUSTED,
2026-09-03 14:54:17,10.30.165.0,224.0.0.251,UDP,5353,5353,81,100,TRUSTED,
2026-09-03 14:54:17,10.30.165.0,224.0.0.251,UDP,5353,5353,81,100,TRUSTED,
2026-09-03 14:54:17,10.30.165.0,224.0.0.251,UDP,5353,5353,81,100,TRUSTED,
2026-09-03 14:54:17,10.30.165.0,224.0.0.251,UDP,5353,5353,81,100,TRUSTED,
2026-09-03 14:54:17,10.30.165.122,239.255.255.250,UDP,46313,1900,377,100,TRUSTED,
2026-09-03 14:54:17,20.42.73.30,10.30.166.85,TCP,443,41374,1304,90,TRUSTED,Large Packet
2026-09-03 14:54:17,20.42.73.30,10.30.166.85,TCP,443,41374,1304,90,TRUSTED,Large Packet
2026-09-03 14:54:17,20.42.73.30,10.30.166.85,TCP,443,41374,1304,90,TRUSTED,Large Packet
2026-09-03 14:54:17,10.30.166.85,20.42.73.30,TCP,41374,443,54,100,TRUSTED,
2026-09-03 14:54:17,20.42.73.30,10.30.166.85,TCP,443,41374,1304,90,TRUSTED,Large Packet
2026-09-03 14:54:17,20.42.73.30,10.30.166.85,TCP,443,41374,1304,90,TRUSTED,Large Packet
2026-09-03 14:54:17,20.42.73.30,10.30.166.85,TCP,443,41374,438,100,TRUSTED,
2026-09-03 14:54:17,10.30.166.85,20.42.73.30,TCP,41374,443,54,100,TRUSTED,
2026-09-03 14:54:17,10.30.166.85,20.42.73.30,TCP,41374,443,1304,90,TRUSTED,Large Packet
2026-09-03 14:54:17,10.30.166.85,20.42.73.30,TCP,41374,443,1304,90,TRUSTED,Large Packet
2026-09-03 14:54:17,10.30.166.85,20.42.73.30,TCP,41374,443,856,100,TRUSTED,
2026-09-03 14:54:17,10.30.165.0,10.30.167.255,UDP,137,137,92,100,TRUSTED,
2026-09-03 14:54:17,10.30.165.113,10.30.167.255,UDP,42837,58581,168,100,TRUSTED,
2026-09-03 14:54:17,20.42.73.30,10.30.166.85,TCP,443,41374,60,100,TRUSTED,
2026-09-03 14:54:17,20.42.73.30,10.30.166.85,TCP,443,41374,157,100,TRUSTED,
2026-09-03 14:54:17,20.42.73.30,10.30.166.85,TCP,443,41374,572,100,TRUSTED,
2026-09-03 14:54:17,10.30.166.85,20.42.73.30,TCP,41374,443,54,100,TRUSTED,
2026-09-03 14:54:17,10.30.166.85,20.42.73.30,TCP,41374,443,78,100,TRUSTED,
2026-09-03 14:54:17,10.30.166.85,20.42.73.30,TCP,41374,443,54,100,TRUSTED,
2026-09-03 14:54:17,10.30.167.246,239.255.255.250,UDP,52192,1900,217,100,TRUSTED,
2026-09-03 14:54:18,20.42.73.30,10.30.166.85,TCP,443,41374,60,100,TRUSTED,
2026-09-03 14:54:18,10.30.165.0,10.30.167.255,UDP,137,137,92,100,TRUSTED,
2026-09-03 14:54:18,10.30.165.113,10.30.167.255,UDP,42837,58581,168,100,TRUSTED,
2026-09-03 14:54:18,10.30.165.0,10.30.167.255,UDP,137,137,92,100,TRUSTED,
2026-09-03 14:54:18,10.30.165.0,10.30.167.255,UDP,137,137,92,100,TRUSTED,
2026-09-03 14:54:18,10.30.166.163,224.0.0.251,UDP,5353,5353,184,100,TRUSTED,
2026-09-03 14:54:18,10.30.166.18,224.0.0.251,UDP,5353,5353,415,100,TRUSTED,
2026-09-03 14:54:18,10.30.165.116,224.0.0.251,UDP,5353,5353,405,100,TRUSTED,
2026-09-03 14:54:18,10.30.165.116,224.0.0.251,UDP,5353,5353,420,100,TRUSTED,
2026-09-03 14:54:18,10.30.166.18,224.0.0.251,UDP,5353,5353,430,100,TRUSTED,
2026-09-03 14:54:18,10.30.166.18,224.0.0.251,UDP,5353,5353,430,100,TRUSTED,
2026-09-03 14:54:18,10.30.165.116,224.0.0.251,UDP,5353,5353,420,100,TRUSTED,
2026-09-03 14:54:18,10.30.165.0,10.30.167.255,UDP,137,137,92,100,TRUSTED,
2026-09-03 14:54:18,10.30.165.0,224.0.0.251,UDP,5353,5353,81,100,TRUSTED,
2026-09-03 14:54:18,10.30.165.0,224.0.0.251,UDP,5353,5353,81,100,TRUSTED,
2026-09-03 14:54:18,10.30.165.0,224.0.0.251,UDP,5353,5353,81,100,TRUSTED,
2026-09-03 14:54:18,10.30.165.0,224.0.0.251,UDP,5353,5353,81,100,TRUSTED,
2026-09-03 14:54:18,10.30.164.154,10.30.167.255,UDP,57621,57621,82,100,TRUSTED,
2026-09-03 14:54:18,10.30.167.187,224.0.0.251,UDP,5353,5353,171,100,TRUSTED,
2026-09-03 14:54:18,10.30.165.113,10.30.167.255,UDP,42837,58581,168,100,TRUSTED,
2026-09-03 14:54:18,10.30.165.116,239.255.255.250,UDP,42178,1900,290,100,TRUSTED,
2026-09-03 14:54:18,10.30.167.246,239.255.255.250,UDP,52192,1900,217,100,TRUSTED,
2026-09-03 15:31:58,10.30.165.113,10.30.167.255,UDP,42837,58581,168,100,TRUSTED,
2026-09-03 15:31:58,10.30.164.78,255.255.255.255,UDP,59417,137,92,100,TRUSTED,
2026-09-03 15:31:58,10.30.166.85,10.30.164.78,UDP,137,59417,134,100,TRUSTED,
2026-09-03 15:31:58,10.30.165.0,10.30.167.255,UDP,137,137,92,100,TRUSTED,
2026-09-03 15:31:58,10.30.165.0,224.0.0.251,UDP,5353,5353,81,100,TRUSTED,
2026-09-03 15:31:58,10.30.167.92,224.0.0.251,UDP,5353,5353,103,100,TRUSTED,
2026-09-03 15:31:58,10.30.167.92,224.0.0.251,UDP,5353,5353,119,100,TRUSTED,
2026-09-03 15:31:58,10.30.167.92,224.0.0.251,UDP,5353,5353,119,100,TRUSTED,
2026-09-03 15:31:58,10.30.167.30,224.0.0.251,UDP,5353,5353,69,100,TRUSTED,
2026-09-03 15:31:58,10.30.167.68,224.0.0.251,UDP,5353,5353,213,100,TRUSTED,
2026-09-03 15:31:58,10.30.165.122,239.255.255.250,UDP,38021,1900,333,100,TRUSTED,
2026-09-03 15:31:58,10.30.165.122,239.255.255.250,UDP,38021,1900,342,100,TRUSTED,
2026-09-03 15:31:58,10.30.165.113,10.30.167.255,UDP,42837,58581,168,100,TRUSTED,
2026-09-03 15:31:58,10.30.165.122,239.255.255.250,UDP,38021,1900,379,100,TRUSTED,
2026-09-03 15:31:58,10.30.165.122,239.255.255.250,UDP,38021,1900,381,100,TRUSTED,
2026-09-03 15:31:58,10.30.167.30,224.0.0.251,UDP,5353,5353,69,100,TRUSTED,
2026-09-03 15:31:58,10.30.167.30,10.30.167.255,UDP,137,137,92,100,TRUSTED,
2026-09-03 15:31:58,10.30.165.0,10.30.167.255,UDP,137,137,92,100,TRUSTED,
2026-09-03 15:31:58,10.30.164.78,224.0.0.251,UDP,5353,5353,165,100,TRUSTED,
2026-09-03 15:31:58,10.30.164.78,224.0.0.251,UDP,5353,5353,82,100,TRUSTED,
2026-09-03 15:31:58,10.30.166.18,224.0.0.251,UDP,5353,5353,415,100,TRUSTED,
2026-09-03 15:31:58,10.30.165.116,224.0.0.251,UDP,5353,5353,405,100,TRUSTED,
2026-09-03 15:31:58,10.30.165.113,10.30.167.255,UDP,42837,58581,168,100,TRUSTED,
2026-09-03 15:31:58,10.30.167.110,255.255.255.255,UDP,45763,9015,106,100,TRUSTED,
2026-09-03 15:31:59,10.30.165.0,224.0.0.251,UDP,5353,5353,81,100,TRUSTED,
2026-09-03 15:31:59,10.30.167.30,224.0.0.251,UDP,5353,5353,69,100,TRUSTED,
2026-09-03 15:31:59,10.30.167.92,224.0.0.251,UDP,5353,5353,257,100,TRUSTED,
2026-09-03 15:31:59,10.30.165.116,239.255.255.250,UDP,57289,1900,290,100,TRUSTED,
2026-09-03 15:31:59,10.30.167.156,224.0.0.251,UDP,5353,5353,107,100,TRUSTED,
2026-09-03 15:31:59,10.30.165.116,239.255.255.250,UDP,57289,1900,279,100,TRUSTED,
2026-09-03 15:31:59,10.30.165.116,239.255.255.250,UDP,57289,1900,346,100,TRUSTED,
2026-09-03 15:31:59,10.30.167.30,10.30.167.255,UDP,137,137,92,100,TRUSTED,
2026-09-03 15:31:59,10.30.165.116,239.255.255.250,UDP,57289,1900,344,100,TRUSTED,
2026-09-03 15:31:59,10.30.165.113,10.30.167.255,UDP,42837,58581,168,100,TRUSTED,
2026-09-03 15:31:59,10.30.165.116,239.255.255.250,UDP,57289,1900,356,100,TRUSTED,
2026-09-03 15:31:59,10.30.165.0,10.30.167.255,UDP,137,137,92,100,TRUSTED,
2026-09-03 15:31:59,10.30.165.116,239.255.255.250,UDP,57289,1900,354,100,TRUSTED,
2026-09-03 15:31:59,10.30.165.116,239.255.255.250,UDP,57289,1900,290,100,TRUSTED,
2026-09-03 15:31:59,10.30.165.116,239.255.255.250,UDP,57289,1900,279,100,TRUSTED,
2026-09-03 15:31:59,10.30.165.112,10.30.167.255,UDP,47539,15600,77,100,TRUSTED,
2026-09-03 15:31:59,10.30.165.116,239.255.255.250,UDP,57289,1900,346,100,TRUSTED,
2026-09-03 15:31:59,10.30.165.116,239.255.255.250,UDP,57289,1900,344,100,TRUSTED,
2026-09-03 15:32:00,10.30.165.113,10.30.167.255,UDP,42837,58581,168,100,TRUSTED,
2026-09-03 15:32:00,10.30.165.116,239.255.255.250,UDP,57289,1900,356,100,TRUSTED,
2026-09-03 15:32:00,10.30.165.116,239.255.255.250,UDP,57289,1900,354,100,TRUSTED,
2026-09-03 15:32:00,10.30.167.30,10.30.167.255,UDP,137,137,92,100,TRUSTED,
2026-09-03 15:32:00,10.30.167.92,224.0.0.251,UDP,5353,5353,257,100,TRUSTED,
2026-09-03 15:32:00,10.30.164.142,239.255.255.250,UDP,52031,1900,218,100,TRUSTED,
2026-09-03 15:32:00,10.30.165.113,10.30.167.255,UDP,42837,58581,168,100,TRUSTED,
2026-09-03 15:32:00,10.30.165.0,10.30.167.255,UDP,137,137,92,100,TRUSTED,
2026-09-03 15:32:00,10.30.165.0,224.0.0.251,UDP,5353,5353,81,100,TRUSTED,
2026-09-03 15:32:00,10.30.167.92,224.0.0.251,UDP,5353,5353,246,100,TRUSTED,
2026-09-03 15:32:00,10.30.167.92,224.0.0.251,UDP,5353,5353,306,100,TRUSTED,
2026-09-03 15:32:00,10.30.167.92,224.0.0.251,UDP,5353,5353,322,100,TRUSTED,
2026-09-03 15:32:00,10.30.165.113,10.30.167.255,UDP,42837,58581,168,100,TRUSTED,
2026-09-03 15:32:01,10.30.167.110,255.255.255.255,UDP,45763,9015,106,100,TRUSTED,
2026-09-03 15:32:01,10.30.166.85,10.30.165.116,TCP,43874,8009,164,100,TRUSTED,
2026-09-03 15:32:01,10.30.166.85,10.30.166.18,TCP,60333,8009,164,100,TRUSTED,
2026-09-03 15:32:01,10.30.165.0,10.30.167.255,UDP,137,137,92,100,TRUSTED,
2026-09-03 15:32:01,10.30.165.116,10.30.166.85,TCP,8009,43874,164,100,TRUSTED,
2026-09-03 15:56:05,10.30.165.116,239.255.255.250,UDP,39283,1900,344,100,TRUSTED,
2026-09-03 15:56:05,10.30.165.116,239.255.255.250,UDP,39283,1900,356,100,TRUSTED,
2026-09-03 15:56:05,10.30.165.116,239.255.255.250,UDP,39283,1900,354,100,TRUSTED,
2026-09-03 15:56:05,10.30.167.110,255.255.255.255,UDP,45763,9015,106,100,TRUSTED,
2026-09-03 15:56:05,10.30.165.116,239.255.255.250,UDP,39283,1900,290,100,TRUSTED,
2026-09-03 15:56:05,10.30.165.116,239.255.255.250,UDP,39283,1900,279,100,TRUSTED,
2026-09-03 15:56:05,10.30.165.113,10.30.167.255,UDP,42837,58581,168,95,TRUSTED,Dynamic Port
2026-09-03 15:56:05,10.30.165.116,239.255.255.250,UDP,39283,1900,346,100,TRUSTED,
2026-09-03 15:56:05,10.30.166.85,192.178.211.84,TCP,10615,443,55,100,TRUSTED,
2026-09-03 15:56:06,192.178.211.84,10.30.166.85,TCP,443,10615,66,100,TRUSTED,
2026-09-03 15:56:06,10.30.166.127,224.0.0.251,UDP,5353,5353,350,100,TRUSTED,
2026-09-03 15:56:06,10.30.165.116,239.255.255.250,UDP,39283,1900,344,100,TRUSTED,
2026-09-03 15:56:06,10.30.165.116,239.255.255.250,UDP,39283,1900,356,100,TRUSTED,
2026-09-03 15:56:06,10.30.165.116,239.255.255.250,UDP,39283,1900,354,100,TRUSTED,
2026-09-03 15:56:06,10.30.165.112,10.30.167.255,UDP,33087,15600,77,100,TRUSTED,
2026-09-03 15:56:06,0.0.0.0,255.255.255.255,UDP,68,67,342,100,TRUSTED,
2026-09-03 15:56:06,10.30.166.85,192.178.211.84,TCP,10615,443,54,100,TRUSTED,
2026-09-03 15:56:06,10.30.166.85,104.18.32.47,TCP,12192,443,54,100,TRUSTED,
2026-09-03 15:56:06,10.30.166.85,4.150.223.100,TCP,18901,443,54,100,TRUSTED,
2026-09-03 15:56:06,104.18.32.47,10.30.166.85,TCP,443,12192,54,100,TRUSTED,
2026-09-03 15:56:06,192.178.211.84,10.30.166.85,TCP,443,10615,54,100,TRUSTED,
2026-09-03 15:56:06,10.30.166.85,104.18.32.47,TCP,12192,443,54,100,TRUSTED,
2026-09-03 15:56:06,10.30.166.85,192.178.211.84,TCP,10615,443,54,100,TRUSTED,
2026-09-03 15:56:06,10.30.166.85,57.144.81.32,TCP,64768,443,54,100,TRUSTED,
2026-09-03 15:56:06,10.30.166.85,8.8.8.8,TCP,53519,443,54,100,TRUSTED,
2026-09-03 15:56:06,57.144.81.32,10.30.166.85,TCP,443,64768,54,95,TRUSTED,Dynamic Port
2026-09-03 15:56:06,10.30.166.85,57.144.81.32,TCP,64768,443,54,100,TRUSTED,
2026-09-03 15:56:06,8.8.8.8,10.30.166.85,TCP,443,53519,54,95,TRUSTED,Dynamic Port
2026-09-03 15:56:06,10.30.166.85,8.8.8.8,TCP,53519,443,54,100,TRUSTED,
2026-09-03 15:56:06,4.150.223.100,10.30.166.85,TCP,443,18901,54,100,TRUSTED,
2026-09-03 15:56:06,10.30.166.85,4.150.223.100,TCP,18901,443,54,100,TRUSTED,
2026-09-03 15:56:06,10.30.167.26,224.0.0.251,UDP,5353,5353,122,100,TRUSTED,
2026-09-03 15:56:06,10.30.165.113,10.30.167.255,UDP,42837,58581,168,95,TRUSTED,Dynamic Port
2026-09-03 15:56:06,10.30.167.225,224.0.0.251,UDP,5353,5353,292,100,TRUSTED,
2026-09-03 15:56:06,10.30.167.26,224.0.0.251,UDP,5353,5353,163,100,TRUSTED,
2026-09-03 17:42:38,20.184.175.16,10.30.166.85,TCP,443,21706,60,100,TRUSTED,
2026-09-03 17:42:38,20.184.175.16,10.30.166.85,TCP,443,21706,60,100,TRUSTED,
2026-09-03 17:42:38,20.184.175.16,10.30.166.85,TCP,443,21706,153,100,TRUSTED,
2026-09-03 17:42:38,10.30.166.85,20.184.175.16,TCP,21706,443,54,100,TRUSTED,
2026-09-03 17:42:38,10.30.167.121,10.30.167.255,UDP,36150,58581,168,95,TRUSTED,Dynamic Port
2026-09-03 17:42:38,10.30.165.116,239.255.255.250,UDP,39301,1900,290,100,TRUSTED,
2026-09-03 17:42:38,10.30.165.116,239.255.255.250,UDP,39301,1900,279,100,TRUSTED,
2026-09-03 17:42:38,10.30.165.116,239.255.255.250,UDP,39301,1900,346,100,TRUSTED,
2026-09-03 17:42:38,10.30.165.116,239.255.255.250,UDP,39301,1900,344,100,TRUSTED,
2026-09-03 17:42:38,10.30.165.116,239.255.255.250,UDP,39301,1900,356,100,TRUSTED,
2026-09-03 17:42:38,10.30.165.113,10.30.167.255,UDP,52615,58581,168,95,TRUSTED,Dynamic Port
2026-09-03 17:42:38,10.30.166.154,239.255.255.250,UDP,63978,1900,167,100,TRUSTED,
2026-09-03 17:42:38,10.30.165.116,239.255.255.250,UDP,39301,1900,354,100,TRUSTED,
2026-09-03 17:42:38,10.30.166.85,10.30.179.4,UDP,51490,53,92,100,TRUSTED,
2026-09-03 17:42:38,10.30.179.4,10.30.166.85,UDP,53,51490,212,95,TRUSTED,Dynamic Port
2026-09-03 17:42:38,10.30.166.85,20.184.175.16,TCP,21708,443,66,100,TRUSTED,
2026-09-03 17:42:38,10.30.166.154,224.0.0.251,UDP,5353,5353,87,100,TRUSTED,
